code_postal,nom,code_insee,latitude,longitude,code_departement,nom_departement,code_region,nom_region
1100,Martignat,1237,46.2030768095,5.61384033805,1,Ain,84,Auvergne-Rhône-Alpes
1600,Massieux,1238,45.9094016817,4.82779660051,1,Ain,84,Auvergne-Rhône-Alpes
1300,Massignieu-de-Rives,1239,45.7571503942,5.7620535823,1,Ain,84,Auvergne-Rhône-Alpes
1580,Matafelon-Granges,1240,46.2565319445,5.53958933702,1,Ain,84,Auvergne-Rhône-Alpes
1580,Matafelon-Granges,1240,46.2565319445,5.53958933702,1,Ain,84,Auvergne-Rhône-Alpes
1370,Meillonnas,1241,46.244997627,5.33594738489,1,Ain,84,Auvergne-Rhône-Alpes
1450,Mérignat,1242,46.0648564341,5.44210660051,1,Ain,84,Auvergne-Rhône-Alpes
1480,Messimy-sur-Saône,1243,46.0472670758,4.75935643933,1,Ain,84,Auvergne-Rhône-Alpes
1800,Meximieux,1244,45.9060530318,5.20404833653,1,Ain,84,Auvergne-Rhône-Alpes
1250,Bohas-Meyriat-Rignat,1245,46.1427060662,5.3780109646,1,Ain,84,Auvergne-Rhône-Alpes
1250,Bohas-Meyriat-Rignat,1245,46.1427060662,5.3780109646,1,Ain,84,Auvergne-Rhône-Alpes
1250,Bohas-Meyriat-Rignat,1245,46.1427060662,5.3780109646,1,Ain,84,Auvergne-Rhône-Alpes
1660,Mézériat,1246,46.2423102101,5.04725416984,1,Ain,84,Auvergne-Rhône-Alpes
1170,Mijoux,1247,46.3622451724,6.00902631941,1,Ain,84,Auvergne-Rhône-Alpes
1410,Mijoux,1247,46.3622451724,6.00902631941,1,Ain,84,Auvergne-Rhône-Alpes
1390,Mionnay,1248,45.8955939299,4.92416967439,1,Ain,84,Auvergne-Rhône-Alpes
1700,Miribel,1249,45.8442099203,4.94106746787,1,Ain,84,Auvergne-Rhône-Alpes
1700,Miribel,1249,45.8442099203,4.94106746787,1,Ain,84,Auvergne-Rhône-Alpes
1700,Miribel,1249,45.8442099203,4.94106746787,1,Ain,84,Auvergne-Rhône-Alpes
1600,Misérieux,1250,45.9762325343,4.81028471711,1,Ain,84,Auvergne-Rhône-Alpes
1140,Mogneneins,1252,46.1446696076,4.820110702,1,Ain,84,Auvergne-Rhône-Alpes
1250,Montagnat,1254,46.1686969123,5.27962107938,1,Ain,84,Auvergne-Rhône-Alpes
1470,Montagnieu,1255,45.799449019,5.46428608859,1,Ain,84,Auvergne-Rhône-Alpes
1200,Montanges,1257,46.17325293,5.79006091307,1,Ain,84,Auvergne-Rhône-Alpes
1090,Montceaux,1258,46.0962893261,4.80453564172,1,Ain,84,Auvergne-Rhône-Alpes
1310,Montcet,1259,46.219333227,5.11149132074,1,Ain,84,Auvergne-Rhône-Alpes
1800,Le Montellier,1260,45.9287482486,5.07092815964,1,Ain,84,Auvergne-Rhône-Alpes
1390,Monthieux,1261,45.9622791838,4.94555984534,1,Ain,84,Auvergne-Rhône-Alpes
1120,Montluel,1262,45.8909006209,5.01987566185,1,Ain,84,Auvergne-Rhône-Alpes
1120,Montluel,1262,45.8909006209,5.01987566185,1,Ain,84,Auvergne-Rhône-Alpes
